controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-226,average,0.5,0.442298,1
bronze-controller-220,average,0.5,0.438153,1
bronze-controller-228,average,0.5,0.433449,1
bronze-controller-229,average,0.5,0.438989,1
bronze-controller-230,average,0.5,0.44416,1
bronze-controller-236,average,0.5,0.44103,1
bronze-controller-233,average,0.5,0.443393,1
bronze-controller-227,average,0.5,0.44125,1
bronze-controller-234,average,0.5,0.441247,1
bronze-controller-235,average,0.5,0.436299,1
bronze-controller-237,average,0.5,0.440768,1
bronze-controller-238,average,0.5,0.447372,1
bronze-controller-239,average,0.5,0.434552,1
bronze-controller-240,average,0.5,0.435739,1
bronze-controller-248,average,0.5,0.44718,1
bronze-controller-242,average,0.5,0.44574,1
bronze-controller-241,average,0.5,0.443736,1
bronze-controller-243,average,0.5,0.441366,1
bronze-controller-244,average,0.5,0.437508,1
bronze-controller-247,average,0.5,0.433669,1
bronze-controller-246,average,0.5,0.435546,1
bronze-controller-245,average,0.5,0.435608,1
bronze-controller-249,average,0.5,0.433594,1
bronze-controller-251,average,0.5,0.444252,1
bronze-controller-252,average,0.5,0.43889,1
bronze-controller-255,average,0.5,0.435997,1
bronze-controller-256,average,0.5,0.449132,1
bronze-controller-257,average,0.5,0.435263,1
bronze-controller-260,average,0.5,0.445368,1
bronze-controller-259,average,0.5,0.436442,1
bronze-controller-261,average,0.5,0.444355,1
bronze-controller-265,average,0.5,0.435437,1
bronze-controller-267,average,0.5,0.436482,1
bronze-controller-266,average,0.5,0.444133,1
bronze-controller-258,average,0.5,0.438566,1
bronze-controller-270,average,0.5,0.447085,1
bronze-controller-272,average,0.5,0.443571,1
bronze-controller-275,average,0.5,0.436397,1
bronze-controller-268,average,0.5,0.443751,1
bronze-controller-280,average,0.5,0.449858,1
bronze-controller-286,average,0.5,0.44613,1
bronze-controller-279,average,0.5,0.437662,1
bronze-controller-290,average,0.5,0.439671,1
bronze-controller-292,average,0.5,0.436851,1
bronze-controller-284,average,0.5,0.435847,1
bronze-controller-281,average,0.5,0.443338,1
bronze-controller-297,average,0.5,0.447228,1
bronze-controller-295,average,0.5,0.444154,1
bronze-controller-288,average,0.5,0.444964,1
bronze-controller-291,average,0.5,0.435026,1
bronze-controller-298,average,0.5,0.443513,1
bronze-controller-299,average,0.5,0.437222,1
bronze-controller-296,average,0.5,0.436402,1
bronze-controller-277,average,0.5,0.443615,1
bronze-controller-269,average,0.5,0.435409,1
bronze-controller-278,average,0.5,0.449969,1
gold-controller-10,average,1,0.999813,1
gold-controller-107,average,1,0.999744,1
gold-controller-108,average,1,0.999993,1
gold-controller-109,average,1,0.999938,1
gold-controller-110,average,1,0.999855,1
gold-controller-111,average,1,0.999757,1
gold-controller-113,average,1,0.999966,1
gold-controller-114,average,1,0.999939,1
gold-controller-123,average,1,0.999883,1
gold-controller-124,average,1,0.999869,1
gold-controller-127,average,1,0.99991,1
gold-controller-129,average,1,0.999869,1
gold-controller-13,average,1,0.999952,1
gold-controller-138,average,1,0.999855,1
gold-controller-140,average,1,0.999744,1
gold-controller-142,average,1,0.99984,1
gold-controller-145,average,1,0.99998,1
gold-controller-147,average,1,0.999854,1
gold-controller-15,average,1,0.999813,1
gold-controller-151,average,1,0.999839,1
gold-controller-153,average,1,0.999785,1
gold-controller-156,average,1,0.999855,1
gold-controller-157,average,1,0.999813,1
gold-controller-162,average,1,0.999729,1
gold-controller-164,average,1,0.999952,1
gold-controller-166,average,1,0.999771,1
gold-controller-17,average,1,0.999994,1
gold-controller-173,average,1,0.999937,1
gold-controller-174,average,1,0.999868,1
gold-controller-178,average,1,0.999966,1
gold-controller-180,average,1,0.999827,1
gold-controller-184,average,1,0.999785,1
gold-controller-187,average,1,0.999882,1
gold-controller-191,average,1,0.999938,1
gold-controller-193,average,1,0.999855,1
gold-controller-195,average,1,0.999965,1
gold-controller-201,average,1,0.999813,1
gold-controller-205,average,1,0.999855,1
gold-controller-208,average,1,0.999743,1
gold-controller-209,average,1,0.999924,1
gold-controller-215,average,1,0.999952,1
gold-controller-216,average,1,0.999923,1
gold-controller-22,average,1,0.999883,1
gold-controller-221,average,1,0.999924,1
gold-controller-231,average,1,0.999771,1
gold-controller-232,average,1,0.99991,1
gold-controller-24,average,1,0.999813,1
gold-controller-25,average,1,0.999745,1
gold-controller-250,average,1,0.999783,1
gold-controller-253,average,1,0.999783,1
gold-controller-254,average,1,0.999769,1
gold-controller-26,average,1,0.999897,1
gold-controller-262,average,1,0.999769,1
gold-controller-263,average,1,0.999742,1
gold-controller-264,average,1,0.99995,1
gold-controller-34,average,1,0.9998,1
gold-controller-35,average,1,0.999759,1
gold-controller-271,average,1,0.999742,1
gold-controller-273,average,1,0.999896,1
gold-controller-274,average,1,0.99977,1
gold-controller-276,average,1,0.999938,1
gold-controller-28,average,1,0.999828,1
gold-controller-282,average,1,0.999966,1
gold-controller-283,average,1,0.999853,1
gold-controller-285,average,1,0.999797,1
gold-controller-287,average,1,0.999741,1
gold-controller-289,average,1,0.999868,1
gold-controller-29,average,1,0.999801,1
gold-controller-293,average,1,0.999769,1
gold-controller-294,average,1,0.999755,1
gold-controller-300,average,1,0.999825,1
gold-controller-32,average,1,0.999869,1
gold-controller-37,average,1,0.999883,1
gold-controller-38,average,1,0.999828,1
gold-controller-40,average,1,0.99998,1
gold-controller-41,average,1,0.999841,1
gold-controller-43,average,1,0.999744,1
gold-controller-44,average,1,0.999994,1
gold-controller-46,average,1,0.99987,1
gold-controller-50,average,1,0.999897,1
gold-controller-52,average,1,0.999773,1
gold-controller-53,average,1,0.999731,1
gold-controller-57,average,1,0.999787,1
gold-controller-61,average,1,0.999744,1
gold-controller-62,average,1,0.999979,1
gold-controller-65,average,1,0.999855,1
gold-controller-66,average,1,0.999759,1
gold-controller-67,average,1,0.99998,1
gold-controller-7,average,1,0.999938,1
gold-controller-70,average,1,0.9998,1
gold-controller-74,average,1,0.999842,1
gold-controller-8,average,1,0.999897,1
gold-controller-80,average,1,0.9998,1
gold-controller-81,average,1,0.999897,1
gold-controller-82,average,1,0.999883,1
gold-controller-84,average,1,0.9998,1
gold-controller-85,average,1,0.999966,1
gold-controller-9,average,1,0.999869,1
gold-controller-95,average,1,0.999952,1
gold-controller-98,average,1,0.999731,1
