controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
free-deployment-average-218-ee468b86cc2d,average,0.5,0.422302,1
free-deployment-average-211-9c83ee22badd,average,0.5,0.422944,1
free-deployment-average-225-9c56dc853d91,average,0.5,0.420551,1
free-deployment-average-232-549b4622d08c,average,0.5,0.420535,1
free-deployment-average-238-fb57ee9fdf9e,average,0.5,0.42395,1
free-deployment-average-249-426e7184252c,average,0.5,0.421438,1
free-deployment-average-233-d62f1d8f2614,average,0.5,0.421991,1
free-deployment-average-237-c5994abe4a07,average,0.5,0.420056,1
free-deployment-average-196-2f37620ad37d,average,0.5,0.420011,1
free-deployment-average-230-284359c056eb,average,0.5,0.419237,1
free-deployment-average-220-bdbc9bfc6e62,average,0.5,0.419808,1
free-deployment-average-190-e96dfe525187,average,0.5,0.422533,1
free-deployment-average-195-ac81edf8594b,average,0.5,0.420266,1
free-deployment-average-189-d46f9130862b,average,0.5,0.422204,1
free-deployment-average-175-c793764bb1b3,average,0.5,0.419135,1
free-deployment-average-251-92f0a9778029,average,0.5,0.422387,1
free-deployment-average-247-170c83458846,average,0.5,0.418934,1
free-deployment-average-224-bce6541dd9dd,average,0.5,0.419046,1
free-deployment-average-255-60d4f796d4f4,average,0.5,0.421776,1
free-deployment-average-206-c338c4bcd1ab,average,0.5,0.421699,1
free-deployment-average-227-5759980cc5cb,average,0.5,0.419759,1
free-deployment-average-229-1ddb7fc8108e,average,0.5,0.423815,1
free-deployment-average-200-0c7f2a559833,average,0.5,0.42334,1
free-deployment-average-207-ce098f042ca2,average,0.5,0.422458,1
batch-deployment-average-104-fefb8eb75caa,average,0.9,0.902283,1
batch-deployment-average-101-89cde830bd1e,average,0.9,0.907353,1
batch-deployment-average-95-45538e973fea,average,0.9,0.906311,1
batch-deployment-average-160-ce45c9058931,average,0.9,0.907197,1
batch-deployment-average-120-d0e4aac950f1,average,0.9,0.90522,1
batch-deployment-average-122-419e035af17a,average,0.9,0.906206,1
batch-deployment-average-112-5d8886f68b65,average,0.9,0.907673,1
batch-deployment-average-82-b68afcdd197a,average,0.9,0.90117,1
batch-deployment-average-125-9550f1d1788c,average,0.9,0.903685,1
batch-deployment-average-116-fc83db90153e,average,0.9,0.906522,1
batch-deployment-average-127-c9c5eacfc21c,average,0.9,0.907248,1
batch-deployment-average-145-c4c5e06afa5f,average,0.9,0.909617,1
batch-deployment-average-115-e5b8757bb5e6,average,0.9,0.906015,1
batch-deployment-average-99-37206e1ae97c,average,0.9,0.91813,1
prod-deployment-average-2-a79a2a57b918,average,1,0.999857,1
batch-deployment-average-97-61ce769628ba,average,0.9,0.999844,1
prod-deployment-average-21-c669d32bf791,average,1,0.999834,1
batch-deployment-average-135-5aa6b9bb1246,average,0.9,0.999824,1
batch-deployment-average-147-ad2bf8d701cb,average,0.9,0.999813,1
prod-deployment-average-35-d07f848d99fb,average,1,0.999808,1
batch-deployment-average-87-25193af07301,average,0.9,0.999796,1
batch-deployment-average-128-4d7c7b915afc,average,0.9,0.999792,1
prod-deployment-average-8-4ac7f1775008,average,1,0.999778,1
batch-deployment-average-93-fe65f8bb34ef,average,0.9,0.999769,1
prod-deployment-average-46-2a95b5674b57,average,1,0.999759,1
prod-deployment-average-55-9f4cfde24e34,average,1,0.999733,1
prod-deployment-average-43-7f1b2ba70cb5,average,1,0.999991,1
prod-deployment-average-36-bd13fd8ea536,average,1,0.999977,1
prod-deployment-average-78-fdcf3bdac358,average,1,0.999962,1
prod-deployment-average-22-ef5e14a0369e,average,1,0.999946,1
prod-deployment-average-18-f9e8688f7c1f,average,1,0.999941,1
prod-deployment-average-71-b4e8b411f564,average,1,0.999922,1
prod-deployment-average-44-89f0d7ef451e,average,1,0.999916,1
prod-deployment-average-56-554058d877ba,average,1,0.999902,1
prod-deployment-average-3-ee9590bdcd55,average,1,0.999875,1
prod-deployment-average-29-146f8485ac2c,average,1,0.999863,1
prod-deployment-average-62-697db3989323,average,1,0.999353,1
prod-deployment-average-68-84c0bcc7a1e4,average,1,0.999083,1
prod-deployment-average-33-8fb7eaa4a4e5,average,1,0.999015,1
prod-deployment-average-53-d4490c6d4498,average,1,0.999024,1
