,deploy_id,minimum,mean,maximum,total,q50,q75,q90,q95,q99,threshold_quantile_q95,threshold_quantile_q90
1,batch-deployment-average-101-89cde830bd1e,0.000168,0.000311198208610228,0.004062,3461,0.000307,0.000344,0.000375,0.000394,0.000447,0.981219300780121,0.953192718867379
2,batch-deployment-average-104-fefb8eb75caa,0.000156,0.000290319191919192,0.001645,3465,0.000282,0.000331,0.000367,0.0003908,0.000449,0.978932178932179,0.958441558441558
3,batch-deployment-average-112-5d8886f68b65,0.000161,0.000267343731778426,0.012368,3430,0.000254,0.000286,0.000328,0.000358,0.00041471,0.992128279883382,0.983381924198251
4,batch-deployment-average-115-e5b8757bb5e6,0.000133,0.000243528629265471,0.001244,3458,0.000223,0.000285,0.000335,0.000357,0.000399,0.995373048004627,0.9893001735107
5,batch-deployment-average-116-fc83db90153e,0.000173,0.000296966550319953,0.002324,3438,0.000296,0.00033275,0.000362,0.00038015,0.00043263,0.987783595113438,0.972949389179756
6,batch-deployment-average-120-d0e4aac950f1,0.000148,0.000233948770491803,0.001115,3416,0.000215,0.00026425,0.00032,0.000346,0.000397,0.994145199063232,0.990339578454333
7,batch-deployment-average-122-419e035af17a,0.000118,0.000224475299619994,0.001592,3421,0.000203,0.000267,0.000313,0.000334,0.0003818,0.995030692779889,0.992692195264543
8,batch-deployment-average-125-9550f1d1788c,0.000169,0.000302448617176128,0.002677,3435,0.000302,0.000338,0.000368,0.000384,0.00043,0.984861717612809,0.970014556040757
9,batch-deployment-average-127-c9c5eacfc21c,0.000156,0.000301653399186519,0.004082,3442,0.000296,0.000333,0.000362,0.0003839,0.00044718,0.984020918070889,0.966298663567693
10,batch-deployment-average-128-4d7c7b915afc,0.000146,0.000291230525100981,0.00402,3466,0.000282,0.000334,0.000374,0.00040075,0.0004567,0.975764570109636,0.945758799769186
11,batch-deployment-average-135-5aa6b9bb1246,0.000164,0.000290980414746544,0.004053,3472,0.000287,0.000328,0.00036,0.000378,0.000423,0.98934331797235,0.974942396313364
12,batch-deployment-average-145-c4c5e06afa5f,0.000168,0.000291283854166667,0.001084,3456,0.000287,0.000328,0.000359,0.000377,0.00041945,0.991030092592593,0.977141203703704
13,batch-deployment-average-147-ad2bf8d701cb,0.000115,0.000203919884726225,0.003759,3470,0.000196,0.000218,0.000242,0.000265,0.000345,0.998270893371758,0.997694524495677
14,batch-deployment-average-160-ce45c9058931,0.000154,0.000286964378801043,0.001203,3453,0.000284,0.000325,0.000354,0.000372,0.00041748,0.99131190269331,0.980017376194613
15,batch-deployment-average-82-b68afcdd197a,0.000175,0.000292787128712871,0.003613,3434,0.0002895,0.000324,0.000351,0.000369,0.000419,0.990972626674432,0.980780430984275
16,batch-deployment-average-87-25193af07301,0.000164,0.000291493221805596,0.00159,3467,0.000282,0.000335,0.000373,0.000401,0.00045902,0.974906259013556,0.944332275742717
17,batch-deployment-average-93-fe65f8bb34ef,0.000166,0.00028945436164067,0.003216,3462,0.000282,0.000325,0.000358,0.000377,0.00041939,0.990467937608319,0.976025418833045
18,batch-deployment-average-95-45538e973fea,0.000166,0.000290228538283063,0.001271,3448,0.000286,0.000323,0.000355,0.000378,0.000434059999999999,0.987529002320186,0.972447795823666
19,batch-deployment-average-97-61ce769628ba,0.000163,0.000280542577675489,0.003044,3476,0.000269,0.00032,0.000358,0.00037825,0.00043225,0.988204833141542,0.974108170310702
20,batch-deployment-average-99-37206e1ae97c,0.000171,0.000304946805435097,0.001121,3459,0.000304,0.0003385,0.0003672,0.000386,0.00043284,0.986990459670425,0.966753396935531
