controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-210,average,0.5,0.000226,1
bronze-controller-205,average,0.5,0.000646,1
bronze-controller-208,average,0.5,0.000661,1
bronze-controller-207,average,0.5,0.000855,1
bronze-controller-206,average,0.5,0.000939,1
bronze-controller-201,average,0.5,0.001429,1
bronze-controller-204,average,0.5,0.00143,1
bronze-controller-203,average,0.5,0.001667,1
bronze-controller-202,average,0.5,0.001736,1
bronze-controller-200,average,0.5,0.002183,1
bronze-controller-198,average,0.5,0.002785,1
bronze-controller-196,average,0.5,0.003441,1
bronze-controller-193,average,0.5,0.004043,1
bronze-controller-194,average,0.5,0.004086,1
bronze-controller-188,average,0.5,0.004376,1
bronze-controller-190,average,0.5,0.004867,1
bronze-controller-189,average,0.5,0.00509,1
bronze-controller-191,average,0.5,0.00498,1
bronze-controller-185,average,0.5,0.005522,1
bronze-controller-181,average,0.5,0.005745,1
bronze-controller-183,average,0.5,0.005732,1
bronze-controller-182,average,0.5,0.005954,1
bronze-controller-186,average,0.5,0.005802,1
bronze-controller-179,average,0.5,0.006373,1
bronze-controller-180,average,0.5,0.006443,1
bronze-controller-174,average,0.5,0.007321,1
bronze-controller-177,average,0.5,0.007295,1
bronze-controller-173,average,0.5,0.007974,1
bronze-controller-175,average,0.5,0.007838,1
bronze-controller-170,average,0.5,0.008269,1
bronze-controller-1,average,0.5,0.999866,1
bronze-controller-10,average,0.5,0.999867,1
bronze-controller-100,average,0.5,0.999754,1
bronze-controller-101,average,0.5,0.999824,1
bronze-controller-102,average,0.5,0.99981,1
bronze-controller-104,average,0.5,0.999741,1
bronze-controller-105,average,0.5,0.999964,1
bronze-controller-106,average,0.5,0.999851,1
bronze-controller-107,average,0.5,0.99981,1
bronze-controller-108,average,0.5,0.999768,1
bronze-controller-110,average,0.5,0.999922,1
bronze-controller-111,average,0.5,0.99981,1
bronze-controller-115,average,0.5,0.999936,1
bronze-controller-116,average,0.5,0.999811,1
bronze-controller-117,average,0.5,0.999783,1
bronze-controller-118,average,0.5,0.999727,1
bronze-controller-119,average,0.5,0.999923,1
bronze-controller-12,average,0.5,0.999755,1
bronze-controller-120,average,0.5,0.999852,1
bronze-controller-121,average,0.5,0.999727,1
bronze-controller-122,average,0.5,0.99995,1
bronze-controller-123,average,0.5,0.999936,1
bronze-controller-124,average,0.5,0.999894,1
bronze-controller-125,average,0.5,0.999839,1
bronze-controller-126,average,0.5,0.999727,1
bronze-controller-13,average,0.5,0.999992,1
bronze-controller-131,average,0.5,0.999728,1
bronze-controller-132,average,0.5,0.999992,1
bronze-controller-133,average,0.5,0.999894,1
bronze-controller-134,average,0.5,0.999879,1
bronze-controller-135,average,0.5,0.999782,1
bronze-controller-136,average,0.5,0.999769,1
bronze-controller-137,average,0.5,0.999992,1
bronze-controller-138,average,0.5,0.999922,1
bronze-controller-14,average,0.5,0.999937,1
bronze-controller-140,average,0.5,0.999783,1
bronze-controller-141,average,0.5,0.999895,1
bronze-controller-142,average,0.5,0.99988,1
bronze-controller-143,average,0.5,0.999838,1
bronze-controller-172,average,0.5,0.999741,1
bronze-controller-145,average,0.5,0.999741,1
bronze-controller-148,average,0.5,0.999839,1
bronze-controller-149,average,0.5,0.999769,1
bronze-controller-15,average,0.5,0.99984,1
bronze-controller-151,average,0.5,0.999894,1
bronze-controller-153,average,0.5,0.999825,1
bronze-controller-155,average,0.5,0.999992,1
bronze-controller-156,average,0.5,0.999895,1
bronze-controller-157,average,0.5,0.999853,1
bronze-controller-158,average,0.5,0,1
bronze-controller-16,average,0.5,0,1
bronze-controller-162,average,0.5,0,1
bronze-controller-163,average,0.5,0.999741,1
bronze-controller-164,average,0.5,0,1
bronze-controller-165,average,0.5,0.999936,1
bronze-controller-167,average,0.5,0,1
bronze-controller-17,average,0.5,0,1
bronze-controller-171,average,0.5,0,1
bronze-controller-19,average,0.5,0,1
bronze-controller-18,average,0.5,0,1
bronze-controller-2,average,0.5,0,1
bronze-controller-20,average,0.5,0.999826,1
bronze-controller-211,average,0.5,0,1
bronze-controller-212,average,0.5,0,1
