terminationTime,TastId,Runtime,startTime,MEM,CPU,class_name,slo_value,availability,scenario
3600,18,3422,177.0,375,375,gold,100.0,99.9707858603564,simulation
3600,45,3488,111.0,375,375,gold,100.0,99.9713384924047,simulation
3600,49,3552,47.0,375,375,gold,100.0,99.97185477061637,simulation
3600,60,3415,184.0,375,375,gold,100.0,99.97072599531616,simulation
3600,89,3393,206.0,375,375,silver,90.0,99.97053624042428,simulation
3600,117,3572,27.0,375,375,silver,90.0,99.97201231458158,simulation
3600,128,3514,85.0,375,375,silver,90.0,99.97155049786628,simulation
3600,150,3385,214.0,375,375,silver,90.0,99.97046662728884,simulation
3600,168,3534,65.0,375,375,bronze,50.0,99.97171145685996,simulation
3600,175,3595,4.0,375,375,bronze,50.0,99.97219132369301,simulation
3600,83,3458,141.0,375,375,silver,90.0,99.97108991037872,simulation
3600,85,3525,74.0,375,375,silver,90.0,99.97163925127624,simulation
3600,102,3546,53.0,375,375,silver,90.0,99.97180716098111,simulation
3600,111,3461,138.0,375,375,silver,90.0,99.97111496244943,simulation
3600,113,3346,253.0,375,375,silver,90.0,99.97012249775918,simulation
3600,154,3363,236.0,375,375,silver,90.0,99.97027348394768,simulation
3600,156,3493,106.0,375,375,silver,90.0,99.97137950772752,simulation
3600,157,3509,90.0,375,375,silver,90.0,99.97150997150997,simulation
3600,170,3582,17.0,375,375,bronze,50.0,99.97209042701648,simulation
3600,201,3564,35.0,375,375,bronze,50.0,99.9719495091164,simulation
3600,200,0,254.0,375,375,bronze,50.0,0.0,simulation
3600,179,224,10.0,375,375,bronze,50.0,6.23955431754874,simulation
3600,212,217,15.0,375,375,bronze,50.0,6.05299860529986,simulation
3600,174,232,19.0,375,375,bronze,50.0,6.478637252164201,simulation
3600,230,192,38.0,375,375,bronze,50.0,5.390230207748449,simulation
3600,208,188,49.0,375,375,bronze,50.0,5.29428330047873,simulation
3600,177,176,50.0,375,375,bronze,50.0,4.95774647887323,simulation
3600,243,144,64.0,375,375,bronze,50.0,4.07239819004524,simulation
3600,178,132,69.0,375,375,bronze,50.0,3.73831775700934,simulation
3600,236,134,105.0,375,375,bronze,50.0,3.8340486409155896,simulation
3600,221,140,107.0,375,375,bronze,50.0,4.00801603206412,simulation
3600,231,129,121.0,375,375,bronze,50.0,3.70796205806266,simulation
3600,226,92,122.0,375,375,bronze,50.0,2.64519838987924,simulation
3600,167,69,136.0,375,375,bronze,50.0,1.9919168591224001,simulation
3600,203,50,150.0,375,375,bronze,50.0,1.4492753623188401,simulation
3600,242,55,151.0,375,375,bronze,50.0,1.59466512032473,simulation
3600,187,59,152.0,375,375,bronze,50.0,1.7111368909512699,simulation
