controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-57,average,0.5,0.562203,1
bronze-controller-72,average,0.5,0.562312,1
bronze-controller-21,average,0.5,0.55862,1
bronze-controller-1,average,0.5,0.560373,1
bronze-controller-62,average,0.5,0.56381,1
bronze-controller-3,average,0.5,0.557302,1
bronze-controller-2,average,0.5,0.559538,1
bronze-controller-12,average,0.5,0.566301,1
bronze-controller-79,average,0.5,0.560402,1
bronze-controller-4,average,0.5,0.559871,1
bronze-controller-71,average,0.5,0.56339,1
bronze-controller-10,average,0.5,0.560045,1
bronze-controller-9,average,0.5,0.557294,1
bronze-controller-66,average,0.5,0.557391,1
bronze-controller-43,average,0.5,0.558489,1
bronze-controller-14,average,0.5,0.556056,1
bronze-controller-47,average,0.5,0.562799,1
bronze-controller-80,average,0.5,0.563022,1
bronze-controller-28,average,0.5,0.562039,1
bronze-controller-16,average,0.5,0.559177,1
bronze-controller-19,average,0.5,0.562881,1
bronze-controller-27,average,0.5,0.562361,1
bronze-controller-83,average,0.5,0.554665,1
bronze-controller-17,average,0.5,0.561958,1
bronze-controller-50,average,0.5,0.565309,1
bronze-controller-69,average,0.5,0.558992,1
bronze-controller-76,average,0.5,0.563279,1
bronze-controller-45,average,0.5,0.563263,1
bronze-controller-18,average,0.5,0.558494,1
bronze-controller-54,average,0.5,0.563958,1
bronze-controller-95,average,0.5,0.558548,1
bronze-controller-87,average,0.5,0.558445,1
bronze-controller-30,average,0.5,0.563424,1
bronze-controller-102,average,0.5,0.561372,1
bronze-controller-41,average,0.5,0.563385,1
bronze-controller-68,average,0.5,0.567366,1
bronze-controller-51,average,0.5,0.560179,1
bronze-controller-44,average,0.5,0.558843,1
bronze-controller-38,average,0.5,0.560332,1
bronze-controller-90,average,0.5,0.564385,1
bronze-controller-58,average,0.5,0.558618,1
bronze-controller-63,average,0.5,0.562058,1
bronze-controller-82,average,0.5,0.567177,1
bronze-controller-107,average,0.5,0.561276,1
bronze-controller-33,average,0.5,0.562188,1
bronze-controller-91,average,0.5,0.561013,1
bronze-controller-52,average,0.5,0.558133,1
bronze-controller-109,average,0.5,0.563107,1
bronze-controller-70,average,0.5,0.564137,1
bronze-controller-106,average,0.5,0.557824,1
bronze-controller-105,average,0.5,0.564439,1
bronze-controller-94,average,0.5,0.565291,1
bronze-controller-96,average,0.5,0.555834,1
bronze-controller-93,average,0.5,0.564594,1
bronze-controller-65,average,0.5,0.558655,1
bronze-controller-117,average,0.5,0.56065,1
bronze-controller-81,average,0.5,0.568019,1
bronze-controller-119,average,0.5,0.561213,1
bronze-controller-88,average,0.5,0.561905,1
bronze-controller-92,average,0.5,0.562893,1
bronze-controller-112,average,0.5,0.564641,1
bronze-controller-85,average,0.5,0.560581,1
bronze-controller-84,average,0.5,0.560332,1
bronze-controller-118,average,0.5,0.561547,1
bronze-controller-131,average,0.5,0.563626,1
bronze-controller-108,average,0.5,0.564483,1
bronze-controller-128,average,0.5,0.558647,1
bronze-controller-129,average,0.5,0.5597,1
bronze-controller-123,average,0.5,0.559885,1
bronze-controller-113,average,0.5,0.560791,1
bronze-controller-115,average,0.5,0.559852,1
bronze-controller-121,average,0.5,0.557115,1
bronze-controller-134,average,0.5,0.560133,1
bronze-controller-139,average,0.5,0.559718,1
bronze-controller-137,average,0.5,0.563198,1
bronze-controller-138,average,0.5,0.560351,1
bronze-controller-126,average,0.5,0.564789,1
bronze-controller-133,average,0.5,0.560757,1
bronze-controller-141,average,0.5,0.560591,1
bronze-controller-145,average,0.5,0.558687,1
bronze-controller-146,average,0.5,0.559135,1
bronze-controller-147,average,0.5,0.560893,1
bronze-controller-148,average,0.5,0.565369,1
bronze-controller-149,average,0.5,0.560591,1
bronze-controller-150,average,0.5,0.559558,1
bronze-controller-153,average,0.5,0.564311,1
bronze-controller-154,average,0.5,0.564491,1
bronze-controller-143,average,0.5,0.558283,1
bronze-controller-157,average,0.5,0.563221,1
bronze-controller-155,average,0.5,0.563491,1
bronze-controller-159,average,0.5,0.558519,1
bronze-controller-163,average,0.5,0.564102,1
bronze-controller-161,average,0.5,0.5606,1
bronze-controller-166,average,0.5,0.559824,1
bronze-controller-164,average,0.5,0.559603,1
bronze-controller-167,average,0.5,0.554081,1
bronze-controller-169,average,0.5,0.563872,1
bronze-controller-160,average,0.5,0.558796,1
bronze-controller-171,average,0.5,0.565658,1
bronze-controller-174,average,0.5,0.558162,1
bronze-controller-176,average,0.5,0.570318,1
bronze-controller-179,average,0.5,0.565598,1
bronze-controller-180,average,0.5,0.558722,1
bronze-controller-181,average,0.5,0.563943,1
bronze-controller-182,average,0.5,0.562905,1
bronze-controller-183,average,0.5,0.56332,1
bronze-controller-186,average,0.5,0.562033,1
bronze-controller-187,average,0.5,0.563249,1
bronze-controller-189,average,0.5,0.559296,1
bronze-controller-188,average,0.5,0.561955,1
bronze-controller-191,average,0.5,0.564896,1
bronze-controller-192,average,0.5,0.561795,1
bronze-controller-193,average,0.5,0.558588,1
bronze-controller-194,average,0.5,0.562995,1
bronze-controller-195,average,0.5,0.560616,1
bronze-controller-196,average,0.5,0.560484,1
bronze-controller-197,average,0.5,0.556332,1
bronze-controller-198,average,0.5,0.564788,1
bronze-controller-199,average,0.5,0.55928,1
bronze-controller-202,average,0.5,0.559229,1
bronze-controller-203,average,0.5,0.563643,1
bronze-controller-204,average,0.5,0.559371,1
bronze-controller-205,average,0.5,0.558436,1
bronze-controller-207,average,0.5,0.560434,1
bronze-controller-209,average,0.5,0.561161,1
bronze-controller-208,average,0.5,0.558973,1
