,deploy_id,minimum,mean,maximum,total,q50,q75,q90,q95,q99
1,prod-deployment-average-1-bc3ffd58b3bc,0.000153,0.00025877994100295,0.001959,3390,0.000246,0.000297,0.000339,0.000359,0.00039511
2,prod-deployment-average-10-1275f9484f44,0.000138,0.000188827995255042,0.00124,3372,0.000182,0.000197,0.00022,0.000242,0.000318
3,prod-deployment-average-11-daf5fa5abfe6,0.000124,0.000209035256410256,0.001798,3432,0.000196,0.000222,0.000265,0.00029945,0.00037214
4,prod-deployment-average-12-532a40bc86e9,9.5e-05,0.000241085462555066,0.001527,3405,0.000236,0.00028,0.0003136,0.000331,0.00037492
5,prod-deployment-average-16-b117b639fb42,0.000149,0.000229408127721335,0.00381,3445,0.000215,0.000248,0.0002936,0.000327,0.000389
6,prod-deployment-average-17-67f969f32c4e,0.000138,0.000194330628803245,0.000609,3451,0.000187,0.000204,0.000232,0.0002655,0.000336
7,prod-deployment-average-18-310a437a767d,0.00013,0.000192295588235294,0.001527,3400,0.000187,0.000204,0.000224,0.000241,0.000286
8,prod-deployment-average-2-78a5f8e3395b,0.000164,0.000286108683151236,0.00245,3478,0.000287,0.000319,0.000349,0.000365,4e-04
9,prod-deployment-average-21-97f9fa6c6ee6,0.000121,0.000231744232987313,0.001814,3468,0.000222,0.000255,0.000294,0.000322,0.00038333
10,prod-deployment-average-22-9a6fb963902e,0.000156,0.000248383009994121,0.002206,3402,0.000236,0.00027,0.000312,0.00034095,0.00039299
11,prod-deployment-average-24-86ca4b6d0e62,0.000147,0.00023060197272991,0.000674,3447,0.000217,0.0002515,0.000299,0.000334,0.000398
12,prod-deployment-average-25-e5cfff02c88d,0.000147,0.00025573116388156,0.004001,3411,0.000244,0.000291,0.000328,0.000353,0.000403
13,prod-deployment-average-29-502a275144b9,0.000139,0.000207407692307692,0.00098,3380,0.000198,0.000224,0.000254,0.00028105,0.00035221
14,prod-deployment-average-3-6a0049113e56,0.000118,0.000227377291543465,0.003274,3382,0.000206,0.000252,0.000315,0.000344,0.00038276
15,prod-deployment-average-31-f1a57fd906dc,0.00015,0.000247893408551069,0.001061,3368,0.000239,0.000272,0.000307,0.00032965,0.00040299
16,prod-deployment-average-32-11a03c29e629,0.000175,0.000265848016336056,0.001828,3428,0.000258,0.000289,0.000323,0.00034265,0.00039019
17,prod-deployment-average-33-e55b898c5581,0.00012,0.000208411712247325,0.001515,3364,0.000192,0.000234,0.000285,0.000317,0.00036337
18,prod-deployment-average-35-8324508df5d5,0.000103,0.000255212156295224,0.001759,3455,0.000244,0.000288,0.000333,0.000362,0.0004353
19,prod-deployment-average-36-5d577a58c079,0.000148,0.000233442459736457,0.004057,3415,0.000217,0.000256,0.000308,0.000334,0.000386
20,prod-deployment-average-38-fe8c97443c35,0.000126,0.000197937221065159,0.003455,3361,0.000188,0.000205,0.000231,0.000259,0.0003332
21,prod-deployment-average-39-3119a9a7c600,0.00014,0.000211640185561032,0.00075,3449,0.000198,0.000226,0.000276,0.000311,0.00037004
22,prod-deployment-average-40-bd84975c4352,0.000133,0.000269885911840968,0.004073,3471,0.000258,0.000301,0.000344,0.000365,0.0004193
23,prod-deployment-average-41-c1d6ccc4ed9b,0.000105,0.000262410755813954,0.000659,3440,0.000257,0.00029725,0.000331,0.000348,0.00038861
24,prod-deployment-average-42-acf212513fca,0.000118,0.000200896876841485,0.002633,3394,0.000188,0.00021475,0.000268,0.000298,0.000344
25,prod-deployment-average-43-9d673665da88,0.000144,0.000233231196956395,0.001676,3417,0.000218,0.000255,0.000315,0.0003462,0.000402
26,prod-deployment-average-44-8c09c5217d12,0.000169,0.000273137971698113,0.001406,3392,0.000267,0.000304,0.000335,0.000354,0.00040009
27,prod-deployment-average-46-b0586262d49f,0.000143,0.000198089586969168,0.001521,3438,0.000188,0.000207,0.000243,0.000273,0.00033863
28,prod-deployment-average-53-5b49d150a630,0.000114,0.000225629728924635,0.004079,3357,0.000207,0.000248,0.0003024,0.0003312,0.00038932
29,prod-deployment-average-55-c5c573aef86e,0.000118,0.000185146697837522,0.002111,3422,0.00018,0.000193,0.000211,0.000229,0.000303
30,prod-deployment-average-56-01fe52a7501e,0.000161,0.000264439751919669,0.002017,3386,0.000257,0.000297,0.000331,0.000349,0.00038215
31,prod-deployment-average-6-0f0d9112f044,0.000138,0.000199583654130885,0.003471,3377,0.00019,0.000211,0.000237,0.000257,0.000326959999999999
32,prod-deployment-average-60-c4fa24e6f168,0.00016,0.000269564948453608,0.000873,3395,0.000262,3e-04,0.000332,0.000353,0.00040724
33,prod-deployment-average-62-22a576e899ec,0.000141,0.000201677333333333,0.004102,3375,0.000192,0.000212,0.000234,0.000253,0.000327779999999999
34,prod-deployment-average-63-fe29a50ecde3,0.000123,0.000199561616161616,0.001579,3465,0.000187,0.000209,0.0002536,0.000293,0.000368
35,prod-deployment-average-68-a2267363955b,0.000116,0.000219454896142433,0.001975,3370,0.000208,0.000241,0.000285,0.00031355,0.00036931
36,prod-deployment-average-69-ecc8c366ab08,0.00011,0.000194284379562044,0.001077,3425,0.000185,0.000211,0.0002486,0.0002788,0.000344
37,prod-deployment-average-70-7dffa3337ebf,0.000132,0.000190176078772082,0.000651,3453,0.000183,0.000198,0.000223,0.000254,0.00033444
38,prod-deployment-average-71-04d83600dd78,0.000162,0.00026206890459364,0.003083,3396,0.000252,0.000294,0.0003315,0.000349,0.00039605
39,prod-deployment-average-78-cb2bbc9c142f,0.000133,0.000203367772233637,0.002069,3407,0.000196,0.000217,0.000243,0.0002674,0.000336
40,prod-deployment-average-8-f6fe0f130c69,0.000148,0.000215033681765389,0.000793,3444,0.000204,0.000229,0.000269,0.000296,0.000352
