controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-1,average,0.5,0.999944,1
bronze-controller-10,average,0.5,0.999932,1
bronze-controller-101,average,0.5,0.999904,1
bronze-controller-104,average,0.5,0.999737,1
bronze-controller-105,average,0.5,0.99996,1
bronze-controller-107,average,0.5,0.99989,1
bronze-controller-109,average,0.5,0.999974,1
bronze-controller-111,average,0.5,0.99989,1
bronze-controller-112,average,0.5,0.999862,1
bronze-controller-115,average,0.5,0.999946,1
bronze-controller-116,average,0.5,0.999891,1
bronze-controller-118,average,0.5,0.999737,1
bronze-controller-12,average,0.5,0.999835,1
bronze-controller-120,average,0.5,0.999932,1
bronze-controller-122,average,0.5,0.999737,1
bronze-controller-125,average,0.5,0.999891,1
bronze-controller-127,average,0.5,0.999765,1
bronze-controller-130,average,0.5,0.99989,1
bronze-controller-132,average,0.5,0.999764,1
bronze-controller-135,average,0.5,0.999876,1
bronze-controller-136,average,0.5,0.999807,1
bronze-controller-139,average,0.5,0.999932,1
bronze-controller-14,average,0.5,0.999725,1
bronze-controller-140,average,0.5,0.99989,1
bronze-controller-142,average,0.5,0.99996,1
bronze-controller-143,average,0.5,0.999918,1
bronze-controller-146,average,0.5,0.999974,1
bronze-controller-147,average,0.5,0.999932,1
bronze-controller-15,average,0.5,0.999932,1
bronze-controller-151,average,0.5,0.999988,1
bronze-controller-152,average,0.5,0.99996,1
bronze-controller-153,average,0.5,0.999904,1
bronze-controller-154,average,0.5,0.999793,1
bronze-controller-158,average,0.5,0.999861,1
bronze-controller-159,average,0.5,0.999807,1
bronze-controller-163,average,0.5,0.99982,1
bronze-controller-165,average,0.5,0.999988,1
bronze-controller-168,average,0.5,0.999778,1
bronze-controller-170,average,0.5,0.999974,1
bronze-controller-172,average,0.5,0.999821,1
bronze-controller-174,average,0.5,0.999988,1
bronze-controller-175,average,0.5,0.999918,1
bronze-controller-176,average,0.5,0.999848,1
bronze-controller-179,average,0.5,0.999974,1
bronze-controller-2,average,0.5,0.999921,1
bronze-controller-22,average,0.5,0.999987,1
bronze-controller-24,average,0.5,0.999905,1
bronze-controller-3,average,0.5,0.999894,1
