controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-21,average,0.5,0.371505,1
bronze-controller-20,average,0.5,0.370514,1
bronze-controller-16,average,0.5,0.375297,1
bronze-controller-15,average,0.5,0.38809,1
bronze-controller-8,average,0.5,0.399523,1
bronze-controller-6,average,0.5,0.391347,1
bronze-controller-3,average,0.5,0.373051,1
bronze-controller-1,average,0.5,0.391494,1
bronze-controller-26,average,0.5,0.383006,1
bronze-controller-31,average,0.5,0.380536,1
bronze-controller-28,average,0.5,0.375885,1
bronze-controller-32,average,0.5,0.407359,1
silver-controller-23,average,0.9,0.90823,1
silver-controller-25,average,0.9,0.906498,1
silver-controller-18,average,0.9,0.908388,1
silver-controller-14,average,0.9,0.909515,1
silver-controller-12,average,0.9,0.90696,1
silver-controller-11,average,0.9,0.907299,1
silver-controller-10,average,0.9,0.908715,1
silver-controller-9,average,0.9,0.909539,1
silver-controller-4,average,0.9,0.908992,1
silver-controller-29,average,0.9,0.908637,1
gold-controller-13,average,1,0.999823,1
gold-controller-17,average,1,0.999824,1
gold-controller-19,average,1,0.999976,1
gold-controller-2,average,1,0.99995,1
gold-controller-22,average,1,0.99974,1
gold-controller-24,average,1,0.999948,1
gold-controller-27,average,1,0.998894,1
gold-controller-30,average,1,0.998477,1
gold-controller-5,average,1,0.999873,1
gold-controller-7,average,1,0.99981,1
