prod-deployment-average-29-e61c645d25e8,0.000248,0.000223,0.000362,0.000402,0.003296,3432,0.000000,0.000000
batch-deployment-average-112-b2f2aee0645c,0.000251,0.000232,0.000362,0.000401,0.001056,3431,0.000000,0.000000
free-deployment-average-224-d842266220ff,0.000258,0.000243,0.000366,0.000406,0.000840,3430,0.000000,0.000000
prod-deployment-average-62-c438faa1e0e1,0.000258,0.000240,0.000374,0.000411,0.001050,3429,0.000000,0.000000
free-deployment-average-207-c9876766132b,0.000264,0.000247,0.000370,0.000412,0.000967,3428,0.000000,0.000000
prod-deployment-average-68-bac042e70c29,0.000262,0.000242,0.000377,0.000418,0.003102,3427,0.000000,0.000000
free-deployment-average-247-e57db1a2c046,0.000227,0.000206,0.000347,0.000396,0.001232,3426,0.000000,0.000000
free-deployment-average-206-8d453f8b55c8,0.000234,0.000212,0.000359,0.000412,0.001241,3425,0.000000,0.000000
prod-deployment-average-33-51d2c4c76cf6,0.000229,0.000203,0.000356,0.000395,0.001173,3424,0.000000,0.000000
free-deployment-average-255-bc5338af8cb4,0.000226,0.000208,0.000333,0.000390,0.004056,3423,0.000000,0.000000
batch-deployment-average-122-1dee47eccbde,0.000238,0.000222,0.000348,0.000400,0.001991,3422,0.000000,0.000000
free-deployment-average-227-ef84010036f4,0.000245,0.000221,0.000363,0.000410,0.004056,3421,0.000000,0.000000
prod-deployment-average-53-208c8ad9484d,0.000199,0.000190,0.000267,0.000348,0.000650,3420,0.000000,0.000000
free-deployment-average-229-394445802237,0.000204,0.000192,0.000289,0.000375,0.001282,3419,0.000000,0.000000
free-deployment-average-200-5f181c070634,0.000217,0.000196,0.000338,0.000409,0.004284,3418,0.000000,0.000000
batch-deployment-average-120-cd8fc48225a5,0.000224,0.000203,0.000340,0.000401,0.004068,3417,0.000000,0.000000
