controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
gold-controller-167,average,1,0.999784,1
gold-controller-170,average,1,0.999882,1
gold-controller-177,average,1,0.999743,1
gold-controller-178,average,1,0.999729,1
gold-controller-185,average,1,0.999841,1
gold-controller-186,average,1,0.999743,1
gold-controller-187,average,1,0.999953,1
gold-controller-196,average,1,0.99998,1
gold-controller-197,average,1,0.999966,1
gold-controller-198,average,1,0.999868,1
gold-controller-201,average,1,0.999463,1
gold-controller-202,average,1,0.999463,1
gold-controller-203,average,1,0.999463,1
gold-controller-205,average,1,0.999463,1
gold-controller-207,average,1,0.999463,1
gold-controller-208,average,1,0.999463,1
gold-controller-21,average,1,0.999993,1
gold-controller-210,average,1,0.999462,1
gold-controller-212,average,1,0.999463,1
gold-controller-214,average,1,0.999463,1
gold-controller-215,average,1,0.999462,1
gold-controller-216,average,1,0.999462,1
gold-controller-218,average,1,0.999462,1
gold-controller-24,average,1,0.999842,1
gold-controller-25,average,1,0.999814,1
gold-controller-26,average,1,0.999994,1
gold-controller-27,average,1,0.999911,1
gold-controller-28,average,1,0.99987,1
gold-controller-29,average,1,0.999856,1
gold-controller-31,average,1,0.99973,1
gold-controller-37,average,1,0.999911,1
gold-controller-38,average,1,0.999828,1
gold-controller-39,average,1,0.9998,1
gold-controller-4,average,1,0.999821,1
gold-controller-42,average,1,0.999856,1
gold-controller-43,average,1,0.9998,1
gold-controller-44,average,1,0.999759,1
gold-controller-45,average,1,0.99998,1
gold-controller-46,average,1,0.999897,1
gold-controller-48,average,1,0.999786,1
gold-controller-5,average,1,0.999795,1
gold-controller-51,average,1,0.999883,1
gold-controller-53,average,1,0.999773,1
gold-controller-54,average,1,0.999758,1
gold-controller-56,average,1,0.999869,1
gold-controller-57,average,1,0.999813,1
gold-controller-58,average,1,0.999758,1
gold-controller-6,average,1,0.999769,1
gold-controller-60,average,1,0.999966,1
gold-controller-64,average,1,0.99998,1
gold-controller-66,average,1,0.999786,1
gold-controller-69,average,1,0.999925,1
gold-controller-7,average,1,0.999731,1
gold-controller-70,average,1,0.999827,1
gold-controller-71,average,1,0.999799,1
gold-controller-72,average,1,0.999758,1
gold-controller-74,average,1,0.999925,1
gold-controller-75,average,1,0.999828,1
gold-controller-79,average,1,0.999883,1
gold-controller-81,average,1,0.999938,1
gold-controller-84,average,1,0.999855,1
gold-controller-85,average,1,0.9998,1
gold-controller-86,average,1,0.999966,1
gold-controller-9,average,1,0.999925,1
gold-controller-91,average,1,0.99998,1
gold-controller-92,average,1,0.999939,1
gold-controller-93,average,1,0.999869,1
gold-controller-94,average,1,0.999771,1
gold-controller-97,average,1,0.999924,1
