name,timestamp,value,__name__,container,instance,job,namespace,node,pod,resource,uid,unit
kube_pod_container_resource_requests,1737396629,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396634,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396639,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396644,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396649,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396654,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396659,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396664,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396669,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396674,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396679,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396684,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396689,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396694,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396699,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396704,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396709,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396714,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396719,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396724,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396729,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396734,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396739,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396744,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396749,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396754,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396759,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396764,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396769,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396774,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396779,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396784,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396789,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396794,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396799,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396804,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396809,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396814,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396819,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396824,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396829,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
kube_pod_container_resource_requests,1737396834,0.004,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-0,cpu,b9ee0b93-495a-4f32-bc35-8523f182f362,core
