controllerName,succeededTerminations,nonSucceededTerminations,makespan
bronze-controller-1,NA,NA,NA
bronze-controller-12,NA,NA,NA
bronze-controller-17,NA,NA,NA
bronze-controller-23,NA,NA,NA
bronze-controller-26,NA,NA,NA
bronze-controller-28,NA,NA,NA
bronze-controller-3,NA,NA,NA
bronze-controller-30,NA,NA,NA
bronze-controller-33,NA,NA,NA
bronze-controller-35,NA,NA,NA
bronze-controller-37,NA,NA,NA
bronze-controller-40,NA,NA,NA
bronze-controller-45,NA,NA,NA
bronze-controller-49,NA,NA,NA
bronze-controller-5,NA,NA,NA
bronze-controller-52,NA,NA,NA
bronze-controller-54,NA,NA,NA
bronze-controller-56,NA,NA,NA
bronze-controller-59,NA,NA,NA
bronze-controller-60,NA,NA,NA
bronze-controller-62,NA,NA,NA
bronze-controller-63,NA,NA,NA
bronze-controller-7,NA,NA,NA
bronze-controller-9,NA,NA,NA
gold-controller-11,NA,NA,NA
gold-controller-16,NA,NA,NA
gold-controller-2,NA,NA,NA
gold-controller-20,NA,NA,NA
gold-controller-25,NA,NA,NA
gold-controller-29,NA,NA,NA
gold-controller-31,NA,NA,NA
gold-controller-34,NA,NA,NA
gold-controller-36,NA,NA,NA
gold-controller-38,NA,NA,NA
gold-controller-41,NA,NA,NA
gold-controller-42,NA,NA,NA
gold-controller-44,NA,NA,NA
gold-controller-48,NA,NA,NA
gold-controller-50,NA,NA,NA
gold-controller-53,NA,NA,NA
gold-controller-55,NA,NA,NA
gold-controller-58,NA,NA,NA
gold-controller-6,NA,NA,NA
gold-controller-61,NA,NA,NA
silver-controller-10,NA,NA,NA
silver-controller-13,NA,NA,NA
silver-controller-14,NA,NA,NA
silver-controller-15,NA,NA,NA
silver-controller-18,NA,NA,NA
silver-controller-19,NA,NA,NA
silver-controller-21,NA,NA,NA
silver-controller-22,NA,NA,NA
silver-controller-24,NA,NA,NA
silver-controller-27,NA,NA,NA
silver-controller-32,NA,NA,NA
silver-controller-39,NA,NA,NA
silver-controller-4,NA,NA,NA
silver-controller-43,NA,NA,NA
silver-controller-46,NA,NA,NA
silver-controller-47,NA,NA,NA
silver-controller-51,NA,NA,NA
silver-controller-57,NA,NA,NA
silver-controller-64,NA,NA,NA
silver-controller-8,NA,NA,NA
