controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-61,average,0.5,0.878045,1
bronze-controller-1,average,0.5,0.872194,1
bronze-controller-35,average,0.5,0.871671,1
bronze-controller-8,average,0.5,0.866337,1
bronze-controller-24,average,0.5,0.871487,1
bronze-controller-13,average,0.5,0.869005,1
bronze-controller-2,average,0.5,0.873723,1
bronze-controller-65,average,0.5,0.867727,1
bronze-controller-3,average,0.5,0.868662,1
bronze-controller-63,average,0.5,0.8789,1
bronze-controller-53,average,0.5,0.877207,1
bronze-controller-74,average,0.5,0.872414,1
bronze-controller-27,average,0.5,0.868675,1
bronze-controller-9,average,0.5,0.872002,1
bronze-controller-15,average,0.5,0.872417,1
bronze-controller-83,average,0.5,0.869132,1
bronze-controller-11,average,0.5,0.869043,1
bronze-controller-25,average,0.5,0.876477,1
bronze-controller-40,average,0.5,0.876433,1
bronze-controller-82,average,0.5,0.877738,1
bronze-controller-16,average,0.5,0.87581,1
bronze-controller-58,average,0.5,0.877441,1
bronze-controller-30,average,0.5,0.872038,1
bronze-controller-18,average,0.5,0.87304,1
bronze-controller-66,average,0.5,0.87793,1
bronze-controller-43,average,0.5,0.876193,1
bronze-controller-75,average,0.5,0.865764,1
bronze-controller-47,average,0.5,0.871922,1
bronze-controller-60,average,0.5,0.878199,1
bronze-controller-38,average,0.5,0.87563,1
bronze-controller-78,average,0.5,0.868642,1
bronze-controller-46,average,0.5,0.877194,1
bronze-controller-41,average,0.5,0.866891,1
bronze-controller-48,average,0.5,0.877193,1
bronze-controller-54,average,0.5,0.869709,1
bronze-controller-50,average,0.5,0.865463,1
bronze-controller-64,average,0.5,0.875769,1
bronze-controller-77,average,0.5,0.876558,1
bronze-controller-67,average,0.5,0.872807,1
bronze-controller-71,average,0.5,0.865263,1
bronze-controller-76,average,0.5,0.871613,1
bronze-controller-80,average,0.5,0.876696,1
bronze-controller-93,average,0.5,0.871866,1
bronze-controller-89,average,0.5,0.869963,1
bronze-controller-95,average,0.5,0.865345,1
bronze-controller-94,average,0.5,0.868733,1
bronze-controller-92,average,0.5,0.878077,1
bronze-controller-96,average,0.5,0.877826,1
bronze-controller-104,average,0.5,0.876394,1
bronze-controller-99,average,0.5,0.87224,1
bronze-controller-103,average,0.5,0.878689,1
bronze-controller-101,average,0.5,0.873478,1
bronze-controller-106,average,0.5,0.871212,1
bronze-controller-108,average,0.5,0.876894,1
bronze-controller-111,average,0.5,0.879644,1
bronze-controller-115,average,0.5,0.875478,1
bronze-controller-118,average,0.5,0.873266,1
bronze-controller-119,average,0.5,0.878408,1
bronze-controller-120,average,0.5,0.873334,1
bronze-controller-132,average,0.5,0.876964,1
bronze-controller-133,average,0.5,0.869202,1
bronze-controller-134,average,0.5,0.8759,1
bronze-controller-124,average,0.5,0.878202,1
bronze-controller-126,average,0.5,0.871994,1
bronze-controller-136,average,0.5,0.872777,1
bronze-controller-138,average,0.5,0.868956,1
bronze-controller-129,average,0.5,0.874931,1
bronze-controller-141,average,0.5,0.878565,1
bronze-controller-139,average,0.5,0.874584,1
bronze-controller-128,average,0.5,0.867563,1
bronze-controller-122,average,0.5,0.878053,1
bronze-controller-127,average,0.5,0.877915,1
bronze-controller-144,average,0.5,0.879671,1
bronze-controller-142,average,0.5,0.868882,1
bronze-controller-148,average,0.5,0.880295,1
bronze-controller-151,average,0.5,0.879346,1
bronze-controller-146,average,0.5,0.877825,1
bronze-controller-166,average,0.5,0.877473,1
bronze-controller-153,average,0.5,0.86988,1
bronze-controller-165,average,0.5,0.869835,1
bronze-controller-158,average,0.5,0.877384,1
bronze-controller-156,average,0.5,0.870959,1
bronze-controller-157,average,0.5,0.879951,1
bronze-controller-167,average,0.5,0.874648,1
bronze-controller-174,average,0.5,0.880916,1
bronze-controller-159,average,0.5,0.866675,1
bronze-controller-162,average,0.5,0.87783,1
bronze-controller-170,average,0.5,0.876029,1
bronze-controller-163,average,0.5,0.876084,1
bronze-controller-171,average,0.5,0.872534,1
bronze-controller-178,average,0.5,0.87014,1
bronze-controller-172,average,0.5,0.870855,1
bronze-controller-179,average,0.5,0.872431,1
bronze-controller-176,average,0.5,0.878846,1
bronze-controller-182,average,0.5,0.876318,1
bronze-controller-173,average,0.5,0.874354,1
bronze-controller-175,average,0.5,0.88072,1
bronze-controller-183,average,0.5,0.872085,1
bronze-controller-184,average,0.5,0.87718,1
bronze-controller-186,average,0.5,0.874877,1
bronze-controller-191,average,0.5,0.871287,1
bronze-controller-185,average,0.5,0.879888,1
bronze-controller-190,average,0.5,0.876284,1
bronze-controller-197,average,0.5,0.880923,1
bronze-controller-195,average,0.5,0.874017,1
bronze-controller-198,average,0.5,0.869774,1
bronze-controller-199,average,0.5,0.869363,1
bronze-controller-200,average,0.5,0.876796,1
bronze-controller-201,average,0.5,0.867384,1
bronze-controller-204,average,0.5,0.87451,1
bronze-controller-206,average,0.5,0.873449,1
bronze-controller-210,average,0.5,0.873036,1
bronze-controller-208,average,0.5,0.871135,1
bronze-controller-218,average,0.5,0.875631,1
bronze-controller-212,average,0.5,0.871354,1
bronze-controller-216,average,0.5,0.881833,1
bronze-controller-211,average,0.5,0.878734,1
bronze-controller-217,average,0.5,0.881598,1
bronze-controller-215,average,0.5,0.878944,1
bronze-controller-219,average,0.5,0.872493,1
gold-controller-10,average,1,0.999825,1
gold-controller-100,average,1,0.999935,1
gold-controller-102,average,1,0.999783,1
gold-controller-105,average,1,0.999894,1
gold-controller-107,average,1,0.999783,1
gold-controller-109,average,1,0.999949,1
gold-controller-110,average,1,0.999838,1
gold-controller-112,average,1,0.999741,1
gold-controller-113,average,1,0.999977,1
gold-controller-114,average,1,0.999963,1
gold-controller-116,average,1,0.999783,1
gold-controller-117,average,1,0.999755,1
gold-controller-12,average,1,0.999728,1
gold-controller-121,average,1,0.999962,1
gold-controller-123,average,1,0.999907,1
gold-controller-125,average,1,0.999866,1
gold-controller-130,average,1,0.999768,1
gold-controller-131,average,1,0.999991,1
gold-controller-135,average,1,0.99974,1
gold-controller-137,average,1,0.999963,1
gold-controller-14,average,1,0.999895,1
gold-controller-140,average,1,0.99974,1
gold-controller-143,average,1,0.999809,1
gold-controller-145,average,1,0.99974,1
gold-controller-147,average,1,0.999852,1
gold-controller-149,average,1,0.999782,1
gold-controller-150,average,1,0.99974,1
gold-controller-152,average,1,0.999824,1
gold-controller-154,average,1,0.999726,1
