class_name,slo_value,availability,scenario
bronze,50.0,99.94432071269487,experiment
bronze,50.0,99.9444290080578,experiment
gold,100.0,99.94447529150472,experiment
bronze,50.0,99.94447529150472,experiment
gold,100.0,99.94439810953573,experiment
gold,100.0,99.94428969359332,experiment
gold,100.0,99.9438202247191,experiment
gold,100.0,99.94433620929584,experiment
gold,100.0,99.9444135630906,experiment
bronze,50.0,99.9438832772166,experiment
bronze,50.0,0.0,experiment
bronze,50.0,99.94436717663422,experiment
bronze,50.0,0.0,experiment
silver,90.0,99.94422755158952,experiment
gold,100.0,99.94367783722896,experiment
bronze,50.0,99.9443052074631,experiment
bronze,50.0,0.0290613193839,experiment
gold,100.0,99.91655076495132,experiment
gold,100.0,99.94424310008364,experiment
silver,90.0,99.94450610432852,experiment
gold,100.0,99.9438675273646,experiment
gold,100.0,99.94455225949542,experiment
bronze,50.0,99.94411846884604,experiment
bronze,50.0,0.0,experiment
bronze,50.0,94.4599888080582,experiment
bronze,50.0,0.0,experiment
silver,90.0,99.94419642857144,experiment
gold,100.0,99.944382647386,experiment
bronze,50.0,99.94435169727323,experiment
gold,100.0,99.94450610432852,experiment
bronze,50.0,0.2236511042773273,experiment
silver,90.0,99.94402462916317,experiment
gold,100.0,99.94419642857144,experiment
gold,100.0,99.9438990182328,experiment
bronze,50.0,99.94410285075462,experiment
silver,90.0,99.91532599491956,experiment
silver,90.0,99.94413407821229,experiment
bronze,50.0,0.1127713560755568,experiment
bronze,50.0,99.9443052074631,experiment
silver,90.0,99.9443052074631,experiment
bronze,50.0,99.9444135630906,experiment
silver,90.0,99.94439810953573,experiment
silver,90.0,99.9438990182328,experiment
bronze,50.0,99.943961894088,experiment
gold,100.0,99.91515837104072,experiment
silver,90.0,99.9442586399108,experiment
silver,90.0,99.94319795512638,experiment
silver,90.0,99.9440715883669,experiment
gold,100.0,99.94436717663422,experiment
silver,90.0,99.94432071269487,experiment
gold,100.0,99.94422755158952,experiment
silver,90.0,99.94332672145084,experiment
gold,100.0,99.94356659142213,experiment
gold,100.0,99.94331065759636,experiment
gold,100.0,99.9435984207558,experiment
gold,100.0,99.9439775910364,experiment
silver,90.0,99.94329458463284,experiment
silver,90.0,99.94414967886064,experiment
bronze,50.0,99.94284081166047,experiment
silver,90.0,99.9436302142052,experiment
silver,90.0,99.94428969359332,experiment
silver,90.0,99.9435984207558,experiment
silver,90.0,99.91596638655464,experiment
gold,100.0,99.91530208921512,experiment
gold,100.0,99.94350282485875,experiment
gold,100.0,99.943961894088,experiment
gold,100.0,99.94321408290745,experiment
silver,90.0,99.94323020153278,experiment
gold,100.0,99.94345490528696,experiment
bronze,50.0,0.0,experiment
bronze,50.0,0.0,experiment
silver,90.0,99.91582491582491,experiment
bronze,50.0,0.1142204454597373,experiment
silver,90.0,99.94347088750708,experiment
bronze,50.0,0.0847457627118644,experiment
bronze,50.0,99.9437570303712,experiment
silver,90.0,99.94351878000565,experiment
silver,90.0,99.91594284113197,experiment
gold,100.0,99.94413407821229,experiment
bronze,50.0,99.94340690435769,experiment
silver,90.0,99.91479693268955,experiment
silver,90.0,99.94334277620396,experiment
bronze,50.0,0.4193458205199888,experiment
silver,90.0,99.94428969359332,experiment
gold,100.0,99.94350282485875,experiment
gold,100.0,99.94334277620396,experiment
bronze,50.0,99.9437570303712,experiment
bronze,50.0,99.94342291371994,experiment
gold,100.0,99.94378864530636,experiment
bronze,50.0,0.2548853016142736,experiment
silver,90.0,99.94351878000565,experiment
gold,100.0,99.9439461883408,experiment
bronze,50.0,95.45454545454544,experiment
gold,100.0,99.94400895856664,experiment
gold,100.0,99.91513437057992,experiment
gold,100.0,99.94391475042065,experiment
bronze,50.0,99.94326241134752,experiment
silver,90.0,99.94295493439816,experiment
silver,90.0,99.94308480364256,experiment
gold,100.0,99.9439775910364,experiment
silver,90.0,99.94313335228888,experiment
silver,90.0,99.94323020153278,experiment
silver,90.0,99.94306860233418,experiment
silver,90.0,99.94332672145084,experiment
bronze,50.0,0.1678321678321678,experiment
bronze,50.0,99.94319795512638,experiment
bronze,50.0,0.1120448179271708,experiment
gold,100.0,99.94323020153278,experiment
gold,100.0,99.94314951677087,experiment
silver,90.0,99.91494187694924,experiment
silver,90.0,99.91554054054052,experiment
bronze,50.0,0.1421262080727686,experiment
bronze,50.0,99.94287346472436,experiment
silver,90.0,99.9439304737875,experiment
silver,90.0,99.9437728422828,experiment
bronze,50.0,99.91503823279524,experiment
bronze,50.0,0.8491367110104727,experiment
bronze,50.0,0.4177109440267335,experiment
bronze,50.0,0.1435132032146957,experiment
bronze,50.0,99.91598991879026,experiment
silver,90.0,99.91472427515636,experiment
gold,100.0,99.94308480364256,experiment
gold,100.0,99.91496598639456,experiment
bronze,50.0,99.94316567206592,experiment
bronze,50.0,99.91503823279524,experiment
silver,90.0,99.94306860233418,experiment
silver,90.0,99.9145055571388,experiment
bronze,50.0,99.9430037047592,experiment
silver,90.0,99.94295493439816,experiment
silver,90.0,99.91622451829096,experiment
silver,90.0,99.91494187694924,experiment
silver,90.0,99.9429874572406,experiment
gold,100.0,99.91438356164385,experiment
bronze,50.0,0.3173687247547605,experiment
silver,90.0,99.94306860233418,experiment
bronze,50.0,99.94293865905848,experiment
silver,90.0,99.94284081166047,experiment
silver,90.0,99.94290608050242,experiment
silver,90.0,99.94282447112636,experiment
gold,100.0,99.91457858769932,experiment
gold,100.0,99.9143346659052,experiment
bronze,50.0,0.9420496717099628,experiment
gold,100.0,99.94254524561909,experiment
gold,100.0,99.94277539341915,experiment
silver,90.0,99.94241289951051,experiment
bronze,50.0,99.94282447112636,experiment
silver,90.0,99.94241289951051,experiment
bronze,50.0,0.4626951995373047,experiment
silver,90.0,99.9423797176606,experiment
gold,100.0,99.94282447112636,experiment
silver,90.0,99.94282447112636,experiment
bronze,50.0,0.7017543859649122,experiment
bronze,50.0,0.5584950029394474,experiment
silver,90.0,99.94290608050242,experiment
bronze,50.0,0.6756756756756757,experiment
bronze,50.0,99.9138178684286,experiment
gold,100.0,99.94251221615409,experiment
bronze,50.0,99.91408934707904,experiment
bronze,50.0,99.94513031550068,experiment
gold,100.0,99.91587212563095,experiment
bronze,50.0,99.9146757679181,experiment
bronze,50.0,0.667828106852497,experiment
bronze,50.0,0.5591524426133019,experiment
bronze,50.0,0.6978772899098575,experiment
bronze,50.0,99.94269340974212,experiment
gold,100.0,99.94241289951051,experiment
bronze,50.0,99.94274262811336,experiment
bronze,50.0,99.9137683242311,experiment
gold,100.0,99.91404011461316,experiment
bronze,50.0,0.4890678941311853,experiment
bronze,50.0,0.4591104734576757,experiment
bronze,50.0,0.6285714285714286,experiment
bronze,50.0,0.6668599594085242,experiment
silver,90.0,99.94236311239192,experiment
silver,90.0,99.91291727140784,experiment
gold,100.0,99.94226327944573,experiment
silver,90.0,99.94207935128874,experiment
